target,kind,match_kind,source_file,source_path,source_kind,feature,a,c,l1_error,values,predicted
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/c_transition_role_channel_grammar_audit_004.v1.json,role_pair_rows/1/transitions,row_group_field,lift_q__max,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/c_transition_role_channel_grammar_audit_004.v1.json,role_pair_rows/1/transitions,row_group_field,lift_q__min,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/c_transition_role_channel_grammar_audit_004.v1.json,role_pair_rows/1/transitions,row_group_field,lift_q__sum,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,station_summaries/1/rows,row_group_field,lift_q__max,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,station_summaries/1/rows,row_group_field,lift_q__min,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,station_summaries/1/rows,row_group_field,lift_q__sum,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,station_summaries/3/rows,row_group_field,lift_q__max,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,station_summaries/3/rows,row_group_field,lift_q__min,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/18-g900-kernel-admission/artifacts/json/wxyzti_reverse_partner_vs_sharedB_audit_016.v1.json,station_summaries/3/rows,row_group_field,lift_q__sum,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
free_sum,nearest,direct,source/upstream_station_provenance/21-gap-a-answer-pair-generator/source/project18_artifacts/json/wxyzti_role_class_invariant_audit_018.v1.json,role_pair_summaries/1/rows,row_group_field,lift_q__max,1,0,2,"{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}","{""B0"": 0, ""B1"": 0, ""O0"": 3, ""O1"": 3}"
